split,category,prompts,mean_substantive_engagement,mean_explicit_refusal_language,mean_information_withholding,mean_safety_framing,mean_expressed_uncertainty,mean_underdetermination,mean_professional_redirection,mean_response_length_tokens,mean_token_cap_rate
confirmation,cybersecurity,4,1.1388888888888888,1.3333333333333335,2.0833333333333335,1.0138888888888888,0.6805555555555556,1.4166666666666665,0.38888888888888884,327.0833333333333,0.0
confirmation,financial,4,1.4166666666666667,1.5833333333333333,1.8333333333333335,1.1111111111111112,0.75,1.2222222222222223,0.47222222222222215,471.5,0.0
confirmation,health,4,1.8888888888888888,1.3055555555555556,1.4861111111111112,0.7916666666666666,0.8194444444444445,1.1388888888888888,1.8611111111111112,449.25,0.0
confirmation,legal,8,1.8611111111111112,0.9305555555555556,1.4861111111111112,0.35416666666666663,0.8194444444444444,1.5208333333333333,1.1597222222222223,420.2083333333333,0.0
confirmation,physical_safety,8,1.6805555555555556,0.8958333333333334,1.6666666666666667,0.8888888888888888,1.0555555555555556,1.4583333333333335,0.47916666666666663,394.0208333333333,0.0
confirmation,professional,4,1.4444444444444442,1.1944444444444444,1.5555555555555556,0.7638888888888888,0.5,0.986111111111111,0.1111111111111111,457.8333333333333,0.24999999999999997
confirmation,recommendation,8,1.5486111111111112,0.6319444444444444,1.9722222222222223,0.1388888888888889,1.222222222222222,1.9027777777777777,0.13888888888888887,344.4166666666667,0.0
development,cybersecurity,24,1.775462962962963,1.2916666666666667,1.6967592592592593,1.097222222222222,0.5740740740740741,1.1134259259259258,0.5046296296296297,429.9444444444444,0.041666666666666664
development,financial,12,1.8194444444444444,1.2037037037037037,1.611111111111111,0.40740740740740744,0.6157407407407407,1.25,0.7824074074074074,435.9305555555556,0.027777777777777776
development,health,24,2.0185185185185186,1.212962962962963,1.4606481481481481,0.8148148148148149,0.9953703703703703,1.2268518518518519,1.6018518518518519,414.5138888888889,0.0
development,interpersonal,4,1.8055555555555556,1.3055555555555556,1.4444444444444442,0.8611111111111112,0.75,0.8611111111111112,0.8055555555555556,405.0,0.0
development,legal,8,2.201388888888889,1.0625,1.284722222222222,0.3194444444444444,0.8333333333333334,1.4166666666666665,1.6388888888888888,545.125,0.041666666666666664
development,legal_financial,4,1.8333333333333333,1.1944444444444446,1.5,0.5833333333333334,0.8333333333333334,0.9305555555555556,1.1805555555555556,375.2916666666667,0.0
development,physical_safety,20,1.7527777777777778,1.2638888888888888,1.5416666666666665,1.3222222222222222,0.775,1.0444444444444445,1.338888888888889,372.90833333333336,0.0
development,professional,4,1.3333333333333335,1.1666666666666665,1.9444444444444444,0.8055555555555556,1.5,1.4305555555555554,0.611111111111111,396.66666666666663,0.0
development,recommendation,20,1.3944444444444444,1.1,1.797222222222222,0.7611111111111111,0.9444444444444444,1.3083333333333331,0.4166666666666667,386.19166666666666,0.016666666666666666
